duplicate_group_id,sha256,source_file_id,issuer_ticker,source_filename_raw,relationship_status,notes
SHA256:dc403fad3b516f6a94eecefafb56db518987c5fb3097edd0d68a7ffe8077f207,dc403fad3b516f6a94eecefafb56db518987c5fb3097edd0d68a7ffe8077f207,DRIVE:1xMZjkBquHo-K9GiXlRsAgS3priVxJnnC,BOAM,2024_Rapport_CAC_Annuel_BOAM_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as plain 2024 annual CAC sibling"
SHA256:dc403fad3b516f6a94eecefafb56db518987c5fb3097edd0d68a7ffe8077f207,dc403fad3b516f6a94eecefafb56db518987c5fb3097edd0d68a7ffe8077f207,DRIVE:1dwGhMZHIkhx_cgrm8H_AjIxGVF6aoifH,BOAM,2024_Rapport_CAC_Annuel_BOAM.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as _2 sibling; no silent deletion"
SHA256:46b4ee85f5ad173c2de754c1054b0118b18e3a9758acec3db59cc56358275237,46b4ee85f5ad173c2de754c1054b0118b18e3a9758acec3db59cc56358275237,DRIVE:1WggmAJYaUPCfZVSgfsU_LosKn-u0PlPP,TTLS,2018_Rapport_Annuel_TTLS_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as plain 2018 annual sibling"
SHA256:46b4ee85f5ad173c2de754c1054b0118b18e3a9758acec3db59cc56358275237,46b4ee85f5ad173c2de754c1054b0118b18e3a9758acec3db59cc56358275237,DRIVE:1JRZKCqc8Lk2U8T3EWqIYGOl5c9MQavLg,TTLS,2018_Rapport_Annuel_TTLS.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as _2 sibling; no silent deletion"
SHA256:3446b816e1a15b4a8d2df8bfeff775dbaa7166b52823c0d8d2bf8f1b06fc6b23,3446b816e1a15b4a8d2df8bfeff775dbaa7166b52823c0d8d2bf8f1b06fc6b23,DRIVE:1QpHI94QTOp5sajlV7Y6tKUObyCJG1t6_,SIBC,2017_Rapport_T1_SIBC.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as _2 and _3 siblings"
SHA256:3446b816e1a15b4a8d2df8bfeff775dbaa7166b52823c0d8d2bf8f1b06fc6b23,3446b816e1a15b4a8d2df8bfeff775dbaa7166b52823c0d8d2bf8f1b06fc6b23,DRIVE:1ARLFOsUX3kVqUGMWRL0Vb5NPQPwclSsH,SIBC,2017_Rapport_T1_SIBC_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as plain and _3 siblings"
SHA256:3446b816e1a15b4a8d2df8bfeff775dbaa7166b52823c0d8d2bf8f1b06fc6b23,3446b816e1a15b4a8d2df8bfeff775dbaa7166b52823c0d8d2bf8f1b06fc6b23,DRIVE:1ElSpqqm7ccScfm-txRwFVyNleFKNs8nE,SIBC,2017_Rapport_T1_SIBC_3.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as plain and _2 siblings"
SHA256:b96ab01184f501d6f726250132108e742d8b5ede7ca862ce088b5aa29d7c88ec,b96ab01184f501d6f726250132108e742d8b5ede7ca862ce088b5aa29d7c88ec,DRIVE:16XR549eTTxgGG-jd7HYB5eeYBpIC2pIc,SIBC,2022_Rapport_S1_SIBC.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as _2 sibling"
SHA256:b96ab01184f501d6f726250132108e742d8b5ede7ca862ce088b5aa29d7c88ec,b96ab01184f501d6f726250132108e742d8b5ede7ca862ce088b5aa29d7c88ec,DRIVE:1CV4CvEg-aVNYR5S9tpQ83wAfYITo87K1,SIBC,2022_Rapport_S1_SIBC_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as plain sibling; no silent deletion"
SHA256:cda4d28d932b4b1c715a83170279d312000cfce9e4f1b487597d3db1b3821979,cda4d28d932b4b1c715a83170279d312000cfce9e4f1b487597d3db1b3821979,DRIVE:1mLDRIfTmxeeWNAE8xKfJGQVDvYVN8Ya5,BOABF,divers_Etats_Financiers_BOABF.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling _2; content visually confirms FY 2017"
SHA256:cda4d28d932b4b1c715a83170279d312000cfce9e4f1b487597d3db1b3821979,cda4d28d932b4b1c715a83170279d312000cfce9e4f1b487597d3db1b3821979,DRIVE:1LWk4x6_lpIG8zq6piF-dxCYDC69ND98Y,BOABF,divers_Etats_Financiers_BOABF_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as plain sibling; no silent deletion"
SHA256:7e69b8618e901a4bb72442989a23913f47f268b9093c0a380461d5626ede0c97,7e69b8618e901a4bb72442989a23913f47f268b9093c0a380461d5626ede0c97,DRIVE:136tleAlo40amYiq39lM7IcBYDQWHCYZf,BOAC,2021_Rapport_S1_BOAC.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling _2"
SHA256:7e69b8618e901a4bb72442989a23913f47f268b9093c0a380461d5626ede0c97,7e69b8618e901a4bb72442989a23913f47f268b9093c0a380461d5626ede0c97,DRIVE:1xgy6wk_bj_J8sLYGHFeOXnVyFwzUTODS,BOAC,2021_Rapport_S1_BOAC_2.pdf,EXACT_DUPLICATE,"Duplicate physical source retained; no silent deletion"
